symbol,timeframe,timestamp,date,time,open,high,low,close,volume,source
FIB6F,D,2026-02-17 08:00:00,2026-02-17,08:00:00,44655,45200,44650,45179,5,DIRECTA
FIB6F,D,2026-02-18 08:00:00,2026-02-18,08:00:00,45515,45520,45515,45520,2,DIRECTA
FIB6F,D,2026-02-19 08:00:00,2026-02-19,08:00:00,45385,45385,45198,45198,1,DIRECTA
FIB6F,D,2026-02-20 08:00:00,2026-02-20,08:00:00,45335,45985,45335,45880,7,DIRECTA
FIB6F,D,2026-02-23 08:00:00,2026-02-23,08:00:00,46190,46190,46055,46102,2,DIRECTA
FIB6F,D,2026-02-24 08:00:00,2026-02-24,08:00:00,45850,46295,45850,46055,9,DIRECTA
FIB6F,D,2026-02-25 08:00:00,2026-02-25,08:00:00,46240,46566,46240,46566,2,DIRECTA
FIB6F,D,2026-02-26 08:00:00,2026-02-26,08:00:00,46670,46816,46670,46816,2,DIRECTA
FIB6F,D,2026-02-27 08:00:00,2026-02-27,08:00:00,46645,46655,46265,46601,11,DIRECTA
FIB6F,D,2026-03-02 08:00:00,2026-03-02,08:00:00,45340,45651,45340,45651,15,DIRECTA
FIB6F,D,2026-03-03 08:00:00,2026-03-03,08:00:00,45355,45355,43205,43837,9,DIRECTA
FIB6F,D,2026-03-04 08:00:00,2026-03-04,08:00:00,44680,45085,44680,44709,7,DIRECTA
FIB6F,D,2026-03-05 08:00:00,2026-03-05,08:00:00,44075,45155,43970,43970,30,DIRECTA
FIB6F,D,2026-03-06 08:00:00,2026-03-06,08:00:00,44300,44300,42820,43434,40,DIRECTA
FIB6F,D,2026-03-09 08:00:00,2026-03-09,08:00:00,42750,43900,42695,43312,35,DIRECTA
FIB6F,D,2026-03-10 08:00:00,2026-03-10,08:00:00,44400,44705,44145,44490,42,DIRECTA
FIB6F,D,2026-03-11 08:00:00,2026-03-11,08:00:00,44240,44355,44055,44059,72,DIRECTA
FIB6F,D,2026-03-12 08:00:00,2026-03-12,08:00:00,43950,43950,43290,43730,30,DIRECTA
FIB6F,D,2026-03-13 08:00:00,2026-03-13,08:00:00,43680,44130,43150,43593,79,DIRECTA
FIB6F,D,2026-03-16 08:00:00,2026-03-16,08:00:00,43480,43880,43115,43617,1087,DIRECTA
FIB6F,D,2026-03-17 08:00:00,2026-03-17,08:00:00,43515,44415,43415,44156,2804,DIRECTA
FIB6F,D,2026-03-18 08:00:00,2026-03-18,08:00:00,44435,44725,43425,44003,5237,DIRECTA
FIB6F,D,2026-03-19 08:00:00,2026-03-19,08:00:00,42961,43490,42961,42961,0,DIRECTA
FIB6F,D,2026-03-20 08:00:00,2026-03-20,08:00:00,43005,43655,41495,42095,23845,DIRECTA
FIB6F,D,2026-03-23 08:00:00,2026-03-23,08:00:00,41350,43310,40900,42488,36945,DIRECTA
FIB6F,D,2026-03-24 08:00:00,2026-03-24,08:00:00,42385,43095,42060,42660,18829,DIRECTA
FIB6F,D,2026-03-25 08:00:00,2026-03-25,08:00:00,42965,43525,42940,43285,18002,DIRECTA
FIB6F,D,2026-03-26 08:00:00,2026-03-26,08:00:00,43050,43200,42640,42978,13921,DIRECTA
FIB6F,D,2026-03-27 08:00:00,2026-03-27,08:00:00,42975,43155,42190,42655,13334,DIRECTA
FIB6F,D,2026-03-30 08:00:00,2026-03-30,08:00:00,42335,43215,42310,43095,12523,DIRECTA
FIB6F,D,2026-03-31 08:00:00,2026-03-31,08:00:00,43195,44725,42905,43576,18275,DIRECTA
FIB6F,D,2026-04-01 08:00:00,2026-04-01,08:00:00,44375,45210,44315,44980,18977,DIRECTA
FIB6F,D,2026-04-02 08:00:00,2026-04-02,08:00:00,44415,45130,44030,44881,15523,DIRECTA
